url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/concepts/assignments,Assignments,Understand machine configuration assignment resources - Azure Machine Configuration,Understand Machine Configuration assignment resources and metadata,Machine configuration creates extension resources named machine configuration assignments that map configurations to machines.,"When an Azure Policy is assigned, if it's in the categoryGuest Configurationthere's metadata
included to describe a guest assignment. A video walk-through of this document is available. You can think of a guest assignment as a link between a machine and an Azure Policy scenario. For
example, the following snippet associates the Azure Windows Baseline configuration with minimum
version1.0.0to any machines in scope of the policy.",2025-10-15T05:40:00.000Z,conceptual,configuration,0.75,True,"Describes guest assignment resource model, including metadata and version constraints (for example minimum version 1.0.0); product-specific configuration schema.",unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/concepts/remediation-options,Remediation options,Remediation options for machine configuration - Azure Machine Configuration,,Azure Policy's machine configuration feature offers options for continuous remediation or control using remediation tasks.,"Before you begin, it's a good idea to read the overview page formachine configuration. Note Machine Configuration participates in Azure Policy'sSafe Deployment framework. This means that newly assigned policies automatically apply to machines deployed or updated after the assignment. To extend coverage to existing machines, simply enable ""Create a remediation task"" on the Remediation tab when assigning through the Azure portal. This ensures all in-scope machines receive the configuration automat",2026-04-10T17:11:00.000Z,how-to,,0.2,False,"Content appears to describe remediation behavior and options for Azure Policy machine configuration at a conceptual level (continuous remediation, remediation tasks, Safe Deployment framework) without exposing concrete limits, configuration parameter tables, error codes, or decision matrices with quantified trade-offs. It reads more like a feature explanation/how-to than a detailed reference with expert-only specifics.",unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-built-in-policies,Discover and assign built-in policies,Discover And Assign Built In Machine Configuration Policies - Azure Machine Configuration,Assign built-in Machine Configuration policies,"Learn how to discover, configure, and assign built-in Azure Machine Configuration policies to audit and enforce compliance across Windows and Linux machines in your environment.","Azure Policy provides a unified framework for defining and enforcing governance rules across your Azure resources.Machine Configuration extends this capability to the guest OS level, allowing you to audit and enforce configurationsinsideWindows and Linux machines—helping ensure your workloads remain secure and compliant with internal and industry standards. This section explains how to discover built-in Machine Configuration policies, understand what they do, and assign them to your environment.",2025-11-10T23:18:00.000Z,how-to,configuration,0.7,True,"How-to for discovering and assigning built-in policies; includes policy names and parameters, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-configuration/azure-resource-manager,Using an ARM template,How to create a machine configuration assignment using an Azure Resource Manager template - Azure Machine Configuration,Deploy Machine Configuration assignments with ARM templates,Learn how to deploy configurations to machines with Azure Resource Manager templates.,"You can deploy anAzure Resource Manager templatecontaining machine configuration assignment
resources. This article shows examples for deploying both custom and built-in configurations. In each of the following sections, the example includes atypeproperty where the name starts
withMicrosoft.Compute/virtualMachines. The guest configuration resource providerMicrosoft.GuestConfigurationis anextension resourcethat must reference a parent type. To modify the example for other resource types such asAr",2024-02-07T23:03:00.000Z,how-to,deployment,0.8,True,"Shows ARM resource types, parent-child relationships, and example JSON; concrete deployment configuration for this resource provider.",unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-configuration/bicep,Using Bicep,How to create a machine configuration assignment using Bicep - Azure Machine Configuration,Deploy Machine Configuration assignments with Bicep,Learn how to deploy configurations to machines using Bicep,"You can useAzure Bicepto deploy machine configuration assignments. This article shows
examples for deploying both custom and built-in configurations. In each of the following sections, the example includes atypeproperty where the name starts
withMicrosoft.Compute/virtualMachines. The guest configuration resource providerMicrosoft.GuestConfigurationis anextension resourcethat must reference a parent type. To modify the example for other resource types such asArc-enabled servers, change the parent",2024-02-07T23:03:00.000Z,how-to,deployment,0.8,True,Provides Bicep examples with specific resource types and properties; product-specific deployment syntax and constraints.,unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-configuration/overview,Overview,How to create a machine configuration assignment using templates - Azure Machine Configuration,Assign Machine Configuration packages using templates,Learn how to deploy configurations to machines using different template tools.,The best way toassign machine configuration packagesto multiple machines is usingAzure Policy. You can also assign machine configuration packages to a single machine.,2025-05-08T08:00:00.000Z,how-to,deployment,0.7,True,Covers deployment of configurations via templates and Azure Policy; product-specific deployment patterns across multiple machines.,unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-configuration/rest-api,Using Rest API,How to create a machine configuration assignment using the Azure Rest API - Azure Machine Configuration,Create Machine Configuration assignments using REST API,Learn how to deploy configurations to machines with the Azure Rest API.,"This article shows examples for deploying built-in configurations and can be performed usingcUrlor any http client of your choice. In each of the following sections, the example includes atypeproperty where the name starts
withMicrosoft.Compute/virtualMachines. The guest configuration resource providerMicrosoft.GuestConfigurationis anextension resourcethat must reference a parent type. To modify the example for other resource types such asArc-enabled servers, change the parent
type to the name o",2025-04-01T22:03:00.000Z,how-to,deployment,0.8,True,Shows REST payloads with type names and parent references; detailed deployment API usage unique to this service.,unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-configuration/terraform,Using Terraform,How to create a machine configuration assignment using Terraform - Azure Machine Configuration,Deploy Machine Configuration assignments using Terraform,Learn how to deploy configurations to machines using Terraform,You can useTerraformtodeploymachine configuration assignments.,2025-04-29T18:31:00.000Z,how-to,deployment,0.75,True,Terraform-based deployment of assignments; includes resource blocks and arguments specific to Machine Configuration.,unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-security-baselines/deploy-a-baseline-policy-assignment,Deploy a baseline policy assignment,Deploy A Baseline Policy Assignment - Azure Machine Configuration,Deploy Machine Configuration security baseline policies,Learn how to deploy a security baseline policy assignment for continuous security compliance tracking across Azure and Arc-enabled machines using Azure Policy and Machine Configuration.,"A security baseline policy assignment enables continuous compliance tracking, with results surfaced in the Azure portal to validate that your custom configurations are correctly applied across all target Windows and Linux machines. Policy assignments apply to Azure and non-Azure virtual machines (that areAzure Arc-enabled servers), extending security and compliance management across hybrid, multicloud, and edge environments. The following Policy definitions support customization: Linux machines ",2025-11-10T23:18:00.000Z,conceptual,security,0.7,True,Describes specific policy definitions for Windows and Linux baselines and how to assign them; security-focused configuration guidance.,unchanged
https://learn.microsoft.com/en-us/azure/governance/machine-configuration/how-to/assign-security-baselines/overview-page,Security baselines overview,Overview Page - Azure Machine Configuration,,Learn how to configure and deploy customizable security baselines for continuous compliance monitoring across Azure and Arc-enabled machines using Azure Policy and Machine Configuration.,"Customizable security baselines built on Azure Policy and Machine Configuration enable organizations to assess, monitor, and continuously improve server compliance against trusted industry benchmarks. This capability introducesauditbaselines for both Windows and Linux, empowering customers to align security posture with internal compliance frameworks and regulatory standards. By passing custom baseline parameter input directly into Azure Policy, you can now represent organization-specific contro",2025-11-10T23:18:00.000Z,conceptual,,0.3,False,High-level overview of security baselines; summary suggests conceptual description without detailed settings or parameters.,unchanged
